Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
20020,DCDC402106,RES,CLS,2015 Savannah Pl SE,Washington,"Washington, DC",3,Twin/Semi-Detached,4/26/19,"Long & Foster Real Estate, Inc. (LNG147)","$369,900 "
20020,DCDC401958,RES,CLS,1920 Good Hope Rd SE,Washington,"Washington, DC",3,End of Row/Townhouse,4/26/19,Keller Williams Preferred Properties (KWPP1),"$320,000 "
20020,DCDC401982,RES,CLS,1887 Savannah Pl SE,Washington,"Washington, DC",2,Row/Townhouse,4/18/19,"NetRealtyNow.com, LLC (NRN2)","$364,000 "
20020,DCDC400816,RES,CLS,3909 Pennsylvania Ave SE #101,Washington,"Washington, DC",2,Unit/Flat/Apartment,4/11/19,"Ivan Brown Realty, Inc. (IVAN1)","$85,000 "
20020,DCDC401774,RES,CLS,2009 32nd Pl SE,Washington,"Washington, DC",2,Detached,4/30/19,Keller Williams Capital Properties (KWCP5),"$325,000 "
20020,DCDC401778,RES,CLS,1514 41st St SE,Washington,"Washington, DC",3,End of Row/Townhouse,5/1/19,Bennett Realty Solutions (EXBR1),"$384,900 "
20020,DCDC401764,RES,CLS,2634 Bowen Rd SE #202,Washington,"Washington, DC",2,Unit/Flat/Apartment,4/26/19,D.S.A. Properties & Investments LLC (DSPR1),"$82,000 "
20020,DCDC401746,RES,CLS,2315 Altamont Pl SE #3,Washington,"Washington, DC",3,Unit/Flat/Apartment,5/31/19,D.S.A. Properties & Investments LLC (DSPR1),"$120,000 "
20020,DCDC401706,RES,CLS,2722 Stanton Rd SE,Washington,"Washington, DC",3,Row/Townhouse,5/29/19,Keller Williams Preferred Properties (KWPP1),"$377,000 "
20020,DCDC401670,RES,CLS,1790 41st Pl SE,Washington,"Washington, DC",4,Detached,4/5/19,"Parlay Real Estate, LLC. (PARLY1)","$519,000 "
20020,DCDC401076,RES,CLS,3438 23rd St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,7/9/19,RE/MAX Specialists (RMSP1),"$290,000 "
20020,DCDC401024,RES,CLS,1335 Talbert Ter SE,Washington,"Washington, DC",3,Row/Townhouse,3/29/19,Keller Williams Capital Properties (KWCP1),"$227,350 "
20020,DCDC400934,RES,CLS,1683 Fort Dupont SE,Washington,"Washington, DC",4,Twin/Semi-Detached,4/23/19,KW Metro Center (KWR9),"$162,000 "
20020,DCDC400834,RES,CLS,2100 Fendall St SE #1,Washington,"Washington, DC",2,Unit/Flat/Apartment,4/26/19,Coldwell Banker Residential Brokerage (CBRB106),"$70,000 "
20020,DCDC400582,RES,CLS,1501 Fort Dupont St SE,Washington,"Washington, DC",3,Row/Townhouse,6/21/19,Keller Williams Capital Properties (KWCP1),"$332,000 "
20020,DCDC400584,RES,CLS,1620 Fort Dupont St SE,Washington,"Washington, DC",2,End of Row/Townhouse,3/29/19,Keller Williams Capital Properties (KWCP3),"$290,000 "
20020,DCDC400504,RES,CLS,2302 Southern Ave SE,Washington,"Washington, DC",3,Row/Townhouse,6/7/19,"Residential Growth Properties, LLC. (RGP01)","$350,000 "
20020,DCDC400474,RES,CLS,2804 33rd St SE,Washington,"Washington, DC",3,Detached,2/27/19,"Washington Fine Properties, LLC (WFP3)","$550,000 "
20020,DCDC399760,RES,CLS,2406 23rd St SE,Washington,"Washington, DC",3,End of Row/Townhouse,3/29/19,RE/MAX Allegiance (RMAX20),"$310,000 "
20020,DCDC399524,RES,CLS,2117 Suitland Ter SE #A,Washington,"Washington, DC",2,End of Row/Townhouse,7/16/19,Tristar Realty Inc (TSTA3),"$194,000 "
20020,DCDC398976,RES,CLS,3459 23rd St SE,Washington,"Washington, DC",2,Twin/Semi-Detached,4/30/19,"Help-U-Sell Federal City Realty, LLC (HFED1)","$300,000 "
20020,DCDC399840,RES,CLS,2015 37th St SE #301,Washington,"Washington, DC",2,Penthouse Unit/Flat/Apartment,4/17/19,"Long & Foster Real Estate, Inc. (LNG147)","$170,000 "
20020,DCDC399720,RES,CLS,1658 Fort Dupont St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,3/1/19,RE/MAX United Real Estate (RMXD1),"$260,000 "
20020,DCDC399684,RES,CLS,3111 Naylor Rd SE #201,Washington,"Washington, DC",1,Unit/Flat/Apartment,4/5/19,D.S.A. Properties & Investments LLC (DSPR1),"$64,900 "
20020,DCDC398676,RES,CLS,3458 21st St SE,Washington,"Washington, DC",3,Row/Townhouse,4/15/19,The ONE Street Company (ONERE1),"$361,050 "
20020,DCDC399258,RES,CLS,2205 Minnesota Ave SE,Washington,"Washington, DC",3,Row/Townhouse,3/29/19,RE/MAX Leading Edge (RMLE3),"$415,000 "
20020,DCDC398724,RES,CLS,1626 Good Hope Rd SE,Washington,"Washington, DC",3,Row/Townhouse,2/28/19,"McEnearney Associates, Inc. (MCE1)","$350,000 "
20020,DCDC398570,RES,CLS,2832 Hartford St SE #203,Washington,"Washington, DC",2,Unit/Flat/Apartment,5/17/19,"Northrop Realty, A Long & Foster Company (NRP2)","$89,000 "
20020,DCDC310798,RES,CLS,1907 Good Hope Rd SE #204,Washington,"Washington, DC",1,Unit/Flat/Apartment,5/29/19,Realty ONE Group Excellence (ROGE1),"$99,750 "
20020,DCDC398536,RES,CLS,1371 Morris Rd SE,Washington,"Washington, DC",4,Row/Townhouse,4/22/19,Customer Realty LLC (CUST1),"$464,025 "
20020,DCDC398512,RES,CLS,1660 Fort Davis St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,3/22/19,Compass (COMPS2),"$422,300 "
20020,DCDC310970,RES,CLS,2421 15th Pl SE,Washington,"Washington, DC",2,Twin/Semi-Detached,3/15/19,"Pearson Smith Realty, LLC (PSTH3)","$225,000 "
20020,DCDC364730,RES,CLS,2650 Birney Place Rd SE #202,Washington,"Washington, DC",3,Unit/Flat/Apartment,5/17/19,The Kriegsfeld Corporation (KREG1),"$265,360 "
20020,DCDC371482,RES,CLS,1605 23rd St SE,Washington,"Washington, DC",3,Detached,3/1/19,Coldwell Banker Residential Brokerage (CBRB45),"$372,500 "
20020,DCDC366154,RES,CLS,3209 Pope St SE,Washington,"Washington, DC",4,Detached,3/5/19,RLAH Real Estate (RLAH2),"$550,000 "
20020,DCDC308722,RES,CLS,2603 Douglass Rd SE #301,Washington,"Washington, DC",2,Other,4/19/19,"Weichert, REALTORS (WEI4)","$255,000 "
20020,DCDC364784,RES,CLS,1649 Fort Dupont St SE,Washington,"Washington, DC",3,End of Row/Townhouse,4/30/19,RLAH Real Estate (RLAH2),"$395,000 "
20020,DCDC364780,RES,CLS,1262 Talbert St SE #5B,Washington,"Washington, DC",3,Unit/Flat/Apartment,2/4/19,Senate Realty (SENR1),"$326,000 "
20020,DCDC364778,RES,CLS,2505 Burns St SE,Washington,"Washington, DC",2,Twin/Semi-Detached,6/20/18,Non Subscribing Office (NON1),"$191,250 "
